date,%assignLoss,linkDeathTime,idLink,%loss,linkCharge
20201111221114,0,150,22,0.0,9e-05
20201111221114,0,150,23,0.0,3e-05
20201111221114,0,150,24,0.0,0.00011
20201111221114,0,150,25,0.0,0.0001
20201111221114,0,150,26,0.0,5e-05
20201111221114,25,150,12,0.0,7e-05
20201111221115,0,150,1,0.0,0.00011
20201111221115,0,150,2,0.0,0.00024
20201111221115,0,150,3,0.0,5e-05
20201111221115,0,150,4,0.0,0.00011
20201111221115,0,150,5,0.0,8e-05
20201111221115,0,150,6,0.0,0.00012
20201111221115,0,150,7,0.0,6e-05
20201111221115,0,150,8,0.0,4e-05
20201111221115,0,150,9,0.0,4e-05
20201111221115,0,150,10,0.0,9e-05
20201111221115,0,150,11,0.0,7e-05
20201111221115,0,150,13,0.0,6e-05
20201111221115,0,150,14,0.0,2e-05
20201111221115,0,150,16,0.0,5e-05
20201111221115,0,150,17,0.0,0.00011
20201111221115,0,150,18,0.0,6e-05
20201111221115,0,150,19,0.0,0.0001
20201111221115,0,150,20,0.0,7e-05
20201111221115,0,150,21,0.0,7e-05
20201111221115,0,150,22,0.0,9e-05
20201111221115,0,150,23,0.0,0.00012
20201111221115,0,150,24,0.0,8e-05
20201111221115,0,150,25,0.0,6e-05
20201111221115,0,150,26,0.0,1e-05
20201111221115,25,150,12,0.0,6e-05
20201111221116,0,150,1,0.0,4e-05
20201111221116,0,150,2,1.3392875,0.0004
20201111221116,0,150,3,2.678575,4e-05
20201111221116,0,150,4,0.0,0.00011
20201111221116,0,150,5,0.0,4e-05
20201111221116,0,150,6,0.765307142857,0.00015
20201111221116,0,150,7,0.0,6e-05
20201111221116,0,150,8,1.3392875,8e-05
20201111221116,0,150,9,0.0,2e-05
20201111221116,0,150,10,0.0,3e-05
20201111221116,0,150,11,0.765307142857,0.00015
20201111221116,0,150,13,0.0,1e-05
20201111221116,0,150,14,0.0,2e-05
20201111221116,0,150,16,0.0,4e-05
20201111221116,0,150,17,0.0,0.00011
20201111221116,0,150,18,0.0,3e-05
20201111221116,0,150,19,0.0,7e-05
20201111221116,0,150,20,0.0,4e-05
20201111221116,0,150,21,0.0,8e-05
20201111221116,0,150,22,0.0,3e-05
20201111221116,0,150,23,0.0,5e-05
20201111221116,0,150,24,0.0,0.0001
20201111221116,0,150,25,1.07143,0.0001
20201111221116,0,150,26,3.57143333333,3e-05
20201111221116,25,150,12,0.0,4e-05
20201111221117,0,150,1,1.21211818182,0.00011
20201111221117,0,150,2,0.0,0.00035
20201111221117,0,150,3,2.22221666667,6e-05
20201111221117,0,150,4,0.0,0.0001
20201111221117,0,150,5,0.0,5e-05
20201111221117,0,150,6,0.0,8e-05
20201111221117,0,150,7,0.0,3e-05
20201111221117,0,150,9,0.0,2e-05
20201111221117,0,150,10,1.90475714286,7e-05
20201111221117,0,150,11,0.0,8e-05
20201111221117,0,150,13,0.0,4e-05
20201111221117,0,150,14,0.0,2e-05
20201111221117,0,150,16,0.0,6e-05
20201111221117,0,150,17,0.0,9e-05
20201111221117,0,150,18,0.0,7e-05
20201111221117,0,150,19,0.0,8e-05
20201111221117,0,150,20,0.0,7e-05
20201111221117,0,150,21,0.0,6e-05
20201111221117,0,150,22,0.0,6e-05
20201111221117,0,150,23,0.0,7e-05
20201111221117,0,150,24,2.66666,6e-05
20201111221117,0,150,25,0.0,2e-05
20201111221117,0,150,26,3.333325,4e-05
20201111221117,25,150,12,6.66666666666,5e-05
20201111221118,0,150,1,0.0,7e-05
20201111221118,0,150,2,1.02041428571,0.00035
20201111221118,0,150,3,0.649354545455,0.00011
20201111221118,0,150,4,0.0,9e-05
20201111221118,0,150,5,0.0,7e-05
20201111221118,0,150,6,0.476193333333,0.00015
20201111221118,0,150,7,0.0,6e-05
20201111221118,0,150,8,0.8928625,8e-05
20201111221118,0,150,9,0.0,3e-05
20201111221118,0,150,10,0.0,7e-05
20201111221118,0,150,11,0.510207142857,0.00014
20201111221118,0,150,13,0.0,4e-05
20201111221118,0,150,14,0.0,2e-05
20201111221118,0,150,16,0.0,1e-05
20201111221118,0,150,17,0.0,8e-05
20201111221118,0,150,18,0.0,3e-05
20201111221118,0,150,19,0.0,9e-05
20201111221118,0,150,20,0.0,6e-05
20201111221118,0,150,21,0.0,0.0001
20201111221118,0,150,22,0.0,4e-05
20201111221118,0,150,23,0.0,9e-05
20201111221118,0,150,24,0.0,9e-05
20201111221118,0,150,25,0.71429,0.0001
20201111221118,0,150,26,0.793655555556,9e-05
20201111221118,25,150,12,0.0,5e-05
20201111221119,0,150,1,0.0,0.00048
20201111221119,0,150,2,0.0,0.00192
20201111221119,0,150,3,0.0,0.00011
20201111221119,0,150,4,1.98717692308,0.00074
20201111221119,0,150,5,1.66666,0.00018
20201111221119,0,150,6,1.61458125,0.00041
20201111221119,0,150,7,0.0,0.00025
20201111221119,0,150,8,5.16666,0.00012
20201111221119,0,150,9,0.0,3e-05
20201111221119,0,150,10,0.0,0.00028
20201111221119,0,150,11,1.72222,0.0004
20201111221119,0,150,13,0.0,3e-05
20201111221119,0,150,14,0.0,3e-05
20201111221119,0,150,16,0.0,7e-05
20201111221119,0,150,17,2.84721666667,0.00086
20201111221119,0,150,18,0.0,8e-05
20201111221119,0,150,19,0.0,0.00031
20201111221119,0,150,20,0.0,6e-05
20201111221119,0,150,21,0.0,8e-05
20201111221119,0,150,22,0.0,0.00025
20201111221119,0,150,23,1.38888333333,0.00019
20201111221119,0,150,24,0.0,0.00031
20201111221119,0,150,25,3.2291625,0.00015
20201111221119,0,150,26,0.0,0.0001
20201111221119,25,150,12,0.0,9e-05
20201111221120,0,150,1,0.0,9e-05
20201111221120,0,150,2,0.0,0.00034
20201111221120,0,150,3,0.0,8e-05
20201111221120,0,150,4,0.0,7e-05
20201111221120,0,150,5,0.0,4e-05
20201111221120,0,150,6,0.0,9e-05
20201111221120,0,150,7,0.0,2e-05
20201111221120,0,150,8,0.0,4e-05
20201111221120,0,150,9,0.0,2e-05
20201111221120,0,150,10,0.0,9e-05
20201111221120,0,150,11,0.0,8e-05
20201111221120,0,150,13,0.0,2e-05
20201111221120,0,150,14,0.0,1e-05
20201111221120,0,150,16,0.0,4e-05
20201111221120,0,150,17,0.0,5e-05
20201111221120,0,150,18,0.0,3e-05
20201111221120,0,150,19,0.0,6e-05
20201111221120,0,150,20,0.0,4e-05
20201111221120,0,150,21,0.0,7e-05
20201111221120,0,150,22,0.0,7e-05
20201111221120,0,150,23,0.0,6e-05
20201111221120,0,150,24,0.0,7e-05
20201111221120,0,150,25,0.0,5e-05
20201111221120,0,150,26,0.0,6e-05
20201111221120,25,150,12,0.0,4e-05
20201111221121,0,150,1,0.0,9e-05
20201111221121,0,150,2,1.11111111111,0.00049
20201111221121,0,150,3,1.11111111111,0.0001
20201111221121,0,150,4,0.0,5e-05
20201111221121,0,150,5,0.0,3e-05
20201111221121,0,150,6,0.0,0.00012
20201111221121,0,150,7,0.0,4e-05
20201111221121,0,150,8,0.0,4e-05
20201111221121,0,150,9,0.0,5e-05
20201111221121,0,150,10,0.0,6e-05
20201111221121,0,150,11,1.42857142857,8e-05
20201111221121,0,150,13,8.8889,3e-05
20201111221121,0,150,16,0.0,3e-05
20201111221121,0,150,17,0.0,6e-05
20201111221121,0,150,18,0.0,6e-05
20201111221121,0,150,19,0.0,0.0001
20201111221121,0,150,20,0.0,7e-05
20201111221121,0,150,21,0.833333333333,0.00013
20201111221121,0,150,22,0.0,4e-05
20201111221121,0,150,23,6.666675,4e-05
20201111221121,0,150,24,0.0,6e-05
20201111221121,0,150,25,0.0,4e-05
20201111221121,0,150,26,3.66667,0.00011
20201111221121,25,150,12,0.0,4e-05
20201111221122,0,150,1,0.0,8e-05
20201111221122,0,150,2,0.0,0.00025
20201111221122,0,150,3,0.0,8e-05
20201111221122,0,150,4,0.0,0.00026
20201111221122,0,150,5,1.04166666667,0.00019
20201111221122,0,150,6,0.0,9e-05
20201111221122,0,150,7,0.0,3e-05
20201111221122,0,150,8,0.0,5e-05
20201111221122,0,150,9,0.0,4e-05
20201111221122,0,150,10,0.0,0.0001
20201111221122,0,150,11,0.0,9e-05
20201111221122,0,150,13,1.04166666667,0.00019
20201111221122,0,150,14,0.0,5e-05
20201111221122,0,150,16,0.0,5e-05
20201111221122,0,150,17,0.892857142857,0.00041
20201111221122,0,150,18,0.0,3e-05
20201111221122,0,150,19,0.0,4e-05
20201111221122,0,150,20,0.0,0.00022
20201111221122,0,150,21,0.0,6e-05
20201111221122,0,150,22,0.0,0.00013
20201111221122,0,150,23,0.0,6e-05
20201111221122,0,150,24,0.0,9e-05
20201111221122,0,150,25,0.0,0.0001
20201111221122,0,150,26,0.625,0.00023
20201111221122,25,150,12,0.0,9e-05
20201111221123,0,150,1,0.0,8e-05
20201111221123,0,150,2,0.0,0.0005
20201111221123,0,150,3,0.0,9e-05
20201111221123,0,150,4,0.0,0.00011
20201111221123,0,150,5,0.0,4e-05
20201111221123,0,150,6,0.0,0.00014
20201111221123,0,150,7,0.0,6e-05
20201111221123,0,150,8,0.0,3e-05
20201111221123,0,150,9,0.0,6e-05
20201111221123,0,150,10,0.0,0.00011
20201111221123,0,150,11,0.0,0.00014
20201111221123,0,150,13,0.0,4e-05
20201111221123,0,150,14,0.0,6e-05
20201111221123,0,150,16,0.0,5e-05
20201111221123,0,150,17,0.0,9e-05
20201111221123,0,150,18,0.0,7e-05
20201111221123,0,150,19,0.0,0.00013
20201111221123,0,150,20,0.0,5e-05
20201111221123,0,150,21,0.0,0.00012
20201111221123,0,150,22,0.0,0.00011
20201111221123,0,150,23,0.0,6e-05
20201111221123,0,150,24,0.0,0.00014
20201111221123,0,150,25,0.0,9e-05
20201111221123,0,150,26,0.0,9e-05
20201111221123,25,150,12,0.0,0.00012
20201111221124,0,150,1,0.0,9e-05
20201111221124,0,150,2,0.0,0.00035
20201111221124,0,150,3,0.0,8e-05
20201111221124,0,150,4,0.0,4e-05
20201111221124,0,150,5,0.0,3e-05
20201111221124,0,150,6,0.0,8e-05
20201111221124,0,150,7,0.0,1e-05
20201111221124,0,150,8,0.0,4e-05
20201111221124,0,150,9,0.0,3e-05
20201111221124,0,150,10,0.0,0.00013
20201111221124,0,150,11,0.0,8e-05
20201111221124,0,150,13,0.0,4e-05
20201111221124,0,150,14,0.0,2e-05
20201111221124,0,150,16,0.0,6e-05
20201111221124,0,150,17,0.0,5e-05
20201111221124,0,150,18,0.0,3e-05
20201111221124,0,150,19,0.0,0.00011
20201111221124,0,150,20,0.0,5e-05
20201111221124,0,150,21,0.0,5e-05
20201111221124,0,150,22,0.0,7e-05
20201111221124,0,150,23,0.0,5e-05
20201111221124,0,150,24,0.0,9e-05
20201111221124,0,150,25,0.0,6e-05
20201111221124,0,150,26,0.0,6e-05
20201111221124,25,150,12,0.0,8e-05
20201111221125,0,150,1,0.0,7e-05
20201111221125,0,150,2,0.0,0.00035
20201111221125,0,150,3,0.0,6e-05
20201111221125,0,150,4,0.0,0.0001
20201111221125,0,150,5,0.0,5e-05
20201111221125,0,150,6,0.0,7e-05
20201111221125,0,150,7,0.0,2e-05
20201111221125,0,150,8,0.0,2e-05
20201111221125,0,150,9,0.0,1e-05
20201111221125,0,150,10,0.0,9e-05
20201111221125,0,150,11,0.0,0.0001
20201111221125,0,150,13,0.0,1e-05
20201111221125,0,150,14,0.0,4e-05
20201111221125,0,150,16,0.0,2e-05
20201111221125,0,150,17,0.0,5e-05
20201111221125,0,150,18,0.0,3e-05
20201111221125,0,150,19,0.0,7e-05
20201111221125,0,150,20,0.0,3e-05
20201111221125,0,150,21,0.0,6e-05
20201111221125,0,150,22,0.0,7e-05
20201111221125,0,150,23,0.0,6e-05
20201111221125,0,150,24,0.0,8e-05
20201111221125,0,150,25,0.0,6e-05
20201111221125,0,150,26,0.0,7e-05
20201111221125,25,150,12,0.0,8e-05
20201111221126,0,150,1,0.0,3e-05
20201111221126,0,150,2,0.0,0.0002
20201111221126,0,150,3,0.0,5e-05
20201111221126,0,150,4,0.0,5e-05
20201111221126,0,150,5,0.0,2e-05
20201111221126,0,150,6,0.0,9e-05
20201111221126,0,150,7,0.0,2e-05
20201111221126,0,150,8,0.0,3e-05
20201111221126,0,150,9,0.0,3e-05
20201111221126,0,150,10,0.0,6e-05
20201111221126,0,150,11,0.0,7e-05
20201111221126,0,150,13,0.0,3e-05
20201111221126,0,150,14,0.0,1e-05
20201111221126,0,150,16,0.0,4e-05
20201111221126,0,150,17,0.0,5e-05
20201111221126,0,150,18,0.0,4e-05
20201111221126,0,150,19,0.0,4e-05
20201111221126,0,150,20,0.0,2e-05
20201111221126,0,150,21,0.0,9e-05
20201111221126,0,150,22,0.0,5e-05
20201111221126,0,150,23,0.0,3e-05
20201111221126,0,150,24,0.0,6e-05
20201111221126,0,150,25,0.0,4e-05
20201111221126,0,150,26,0.0,8e-05
20201111221126,25,150,12,0.0,5e-05
20201111221127,0,150,1,1.6,0.00013
20201111221127,0,150,2,0.0,0.00035
20201111221127,0,150,3,2.66666666667,9e-05
20201111221127,0,150,4,0.0,7e-05
20201111221127,0,150,5,0.0,3e-05
20201111221127,0,150,6,0.0,6e-05
20201111221127,0,150,7,0.0,2e-05
20201111221127,0,150,8,0.0,1e-05
20201111221127,0,150,9,0.0,5e-05
20201111221127,0,150,10,1.33333333333,0.00015
20201111221127,0,150,11,0.0,8e-05
20201111221127,0,150,13,0.0,5e-05
20201111221127,0,150,14,0.0,4e-05
20201111221127,0,150,16,0.0,5e-05
20201111221127,0,150,17,0.0,8e-05
20201111221127,0,150,18,0.0,3e-05
20201111221127,0,150,19,0.0,0.00011
20201111221127,0,150,20,0.0,4e-05
20201111221127,0,150,21,0.0,7e-05
20201111221127,0,150,22,1.45454545455,0.00014
20201111221127,0,150,23,0.0,8e-05
20201111221127,0,150,24,0.0,9e-05
20201111221127,0,150,25,0.0,5e-05
20201111221127,0,150,26,4.0,4e-05
20201111221127,25,150,12,0.0,9e-05
20201111221128,0,150,1,0.0,9e-05
20201111221128,0,150,2,0.0,0.00025
20201111221128,0,150,3,0.0,9e-05
20201111221128,0,150,4,0.0,0.00047
20201111221128,0,150,5,0.0,6e-05
20201111221128,0,150,6,0.0,0.00085
20201111221128,0,150,7,0.0,5e-05
20201111221128,0,150,8,0.0,0.0002
20201111221128,0,150,9,0.0,0.0002
20201111221128,0,150,10,0.0,0.00024
20201111221128,0,150,11,0.0,0.00047
20201111221128,0,150,13,0.0,6e-05
20201111221128,0,150,14,0.0,0.00059
20201111221128,0,150,16,0.0,3e-05
20201111221128,0,150,17,0.0,0.00045
20201111221128,0,150,18,0.0,0.0006
20201111221128,0,150,19,0.0,0.00045
20201111221128,0,150,20,0.0,1e-05
20201111221128,0,150,21,0.0,0.00024
20201111221128,0,150,22,0.0,0.00023
20201111221128,0,150,23,0.0,0.0001
20201111221128,0,150,24,0.0,0.00025
20201111221128,0,150,25,0.0,0.00079
20201111221128,0,150,26,0.0,7e-05
20201111221128,25,150,12,0.0,0.00039
